,0
B-company,0.07729468599033816
B-facility,0.06324110671936758
B-loc,0.22675736961451248
B-movie,0.0
B-musicartist,0.005235602094240838
B-other,0.0273972602739726
B-person,0.13692946058091288
B-product,0.02032520325203252
B-sportsteam,0.02040816326530612
B-tvshow,0.0
I-company,0.045283018867924525
I-facility,0.10382513661202186
I-loc,0.091324200913242
I-movie,0.0
I-musicartist,0.014285714285714285
I-other,0.06474820143884892
I-person,0.10333333333333333
I-product,0.002
I-sportsteam,0.0
I-tvshow,0.0
O,0.9654993654028351
